Name,Source Title,DOI,Authors,Year,URL,Type,Source,Note,,Stats,,,More Stats,,,,,,Year Xs,Year Ys
Information Dashboards and Tailoring Capabilities - A Systematic Literature Review,IEEE Access,10.1109/ACCESS.2019.2933472,A. Vázquez-Ingelmo; F. J. Garcia-Peñalvo; R. Therón,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8789402,Journal Article,IEEE Xplore,EC3,,Duplicates,521,,Initial Number,1764,,,,,1990,0
Declarative Dashboard Generation,2020 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),10.1109/ISSREW51248.2020.00075,A. Tundo; C. Castelnovo; M. Mobilio; O. Riganelli; L. Mariani,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9307719,Conference Paper,IEEE Xplore,OK,,Passed EC,11,,After Filtering Dupes,1243,,,,,1991,0
Data visualization techniques for real-time information — A custom and dynamic dashboard for analyzing surveys' results,2018 13th Iberian Conference on Information Systems and Technologies (CISTI),10.23919/CISTI.2018.8398641,R. Toasa; M. Maximiano; C. Reis; D. Guevara,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8398641,Conference Paper,IEEE Xplore,EC3,,,,,,,,,,,1992,0
University dashboard: An implementation of executive dashboard to university,2014 2nd International Conference on Information and Communication Technology (ICoICT),10.1109/ICoICT.2014.6914080,Meyliana; H. A. E. Widjaja; S. W. Santoso,2014,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6914080,Conference Paper,IEEE Xplore,EC3,,,,,,,,,,,1993,2
Dashboard to monitor outages in a smart grid,2020 15th Iberian Conference on Information Systems and Technologies (CISTI),10.23919/CISTI49556.2020.9140869,R. M. S. Laureano; L. M. S. Laureano; A. C. P. Sanz,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9140869,Conference Paper,IEEE Xplore,EC3,,,,,,,,,,,1994,1
Re-Examining HPC Energy Efficiency Dashboard Elements,2016 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW),10.1109/IPDPSW.2016.184,N. Bates; C. Hsu; N. Imam; T. Wilde; D. Sartor,2016,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7529991,Conference Paper,IEEE Xplore,EC3,,,,,,,,,,,1995,2
Enhancing performance of an ERP systems with a dashboard system,2016 International Conference on Information Management and Technology (ICIMTech),10.1109/ICIMTech.2016.7930358,S. F. Wijaya,2016,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7930358,Conference Paper,IEEE Xplore,EC5,,,,,,,,,,,1996,0
Executive Dashboard as a Tool for Knowledge Discovery,"2017 International Conference on Soft Computing, Intelligent System and Information Technology (ICSIIT)",10.1109/ICSIIT.2017.10,N. Karna,2017,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8262591,Conference Paper,IEEE Xplore,EC5,,,,,,,,,,,1997,1
Automated dashboard generation for machine tools with OPC UA compatible sensors,2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),10.1109/ETFA46521.2020.9212136,G. A. Topalian-Rivas; J. Wassermann; M. Severengiz; J. Krüger,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9212136,Conference Paper,IEEE Xplore,EC3,,,,,,,,,,,1998,1
Developing Distance Learning Monitoring Dashboard with Google Sheet: An Approach for Flexible and Low-Price Solution in Pandemic Era,2020 International Conference on ICT for Smart Society (ICISS),10.1109/ICISS50791.2020.9307558,A. Rahmah; P. Sukmasetya; M. Syaiful Romadhon; A. Rio Adriansyah,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9307558,Conference Paper,IEEE Xplore,EC5,,,,,,,,,,,1999,1
