Name,Source Title,DOI,Authors,Year,URL,Type,Source,Note
Effect of a Real-Time Electronic Dashboard on a Rapid Response System,Journal of Medical Systems,10.1007/s10916-017-0858-5,Grant S. FletcherBarry A. AaronsonAndrew A. WhiteReena Julka,2017,http://link.springer.com/article/10.1007/s10916-017-0858-5,Journal Article,SpringerLink,EC3
A handheld classroom dashboard: Teachers’ perspectives on the use of real-time collaborative learning analytics,International Journal of Computer-Supported Collaborative Learning,10.1007/s11412-019-09308-z,Roberto Martinez-Maldonado,2019,http://link.springer.com/article/10.1007/s11412-019-09308-z,Journal Article,SpringerLink,EC3
Developing a More Responsive Radiology Resident Dashboard,Journal of Digital Imaging,10.1007/s10278-018-0123-6,Hongyu ChenVineeth GangaramGeorge Shih,2019,http://link.springer.com/article/10.1007/s10278-018-0123-6,Journal Article,SpringerLink,EC3
The use of learning dashboards to support complex in-class pedagogical scenarios in medical training: how do they influence students’ cognitive engagement?,Research and Practice in Technology Enhanced Learning,10.1186/s41039-020-00135-7,Bas de LengFriedrich Pawelka,2020,http://link.springer.com/article/10.1186/s41039-020-00135-7,Journal Article,SpringerLink,EC3
Extracting Fuel Efficiency Information From the Car Dashboard Display An Application of Interpolation Technique,Resonance,10.1007/s12045-018-0666-3,Niraj Prasad,2018,http://link.springer.com/article/10.1007/s12045-018-0666-3,Journal Article,SpringerLink,EC3
A framework for an alternatives assessment dashboard for evaluating chemical alternatives applied to flame retardants for electronic applications,Clean Technologies and Environmental Policy,10.1007/s10098-016-1300-2,Todd M. Martin,2017,http://link.springer.com/article/10.1007/s10098-016-1300-2,Journal Article,SpringerLink,EC3
Development of a Web-Based Compliance Metrics Reporting Dashboard (CMR©) for Medical Information Inquiries,Drug information journal : DIJ / Drug Information Association,10.1177/0092861512458097,"Robert J. Fuentes MSc, PharmDKazeem Idowu PharmDSanjay K. Sahoo MS, MBA",2012,http://link.springer.com/article/10.1177/0092861512458097,Journal Article,SpringerLink,EC3
Experiment Dashboard for Monitoring Computing Activities of the LHC Virtual Organizations,Journal of Grid Computing,10.1007/s10723-010-9148-x,Julia AndreevaMax BoehmBenjamin GaidiozEdward KaravakisLukasz KokoszkiewiczElisa LanciottiGerhild MaierWilliam OllivierRicardo RochaPablo SaizIrina Sidorova,2010,http://link.springer.com/article/10.1007/s10723-010-9148-x,Journal Article,SpringerLink,EC3
Towards fine-grained reading dashboards for online course revision,Educational Technology Research and Development,10.1007/s11423-020-09814-0,Madjid SadallahBenoît EncelleAzze-Eddine MaredjYannick Prié,2020,http://link.springer.com/article/10.1007/s11423-020-09814-0,Journal Article,SpringerLink,EC3
What information should CSCL teacher dashboards provide to help teachers interpret CSCL situations?,International Journal of Computer-Supported Collaborative Learning,10.1007/s11412-019-09299-x,Anouschka van LeeuwenNikol RummelTamara van Gog,2019,http://link.springer.com/article/10.1007/s11412-019-09299-x,Journal Article,SpringerLink,EC3
