Name,Source Title,DOI,Authors,Year,URL,Type,Source,Note
Learning analytics dashboards for adaptive support in face-to-face collaborative argumentation,COMPUTERS & EDUCATION,10.1016/j.compedu.2020.104041,"Han, Jeongyun; Kim, Kwan Hoon; Rhee, Wonjong; Cho, Young Hoan",2021,,Journal Article,Web of Science,EC3
Developing context-relevant project experiences for marketing analytics students,DECISION SCIENCES-JOURNAL OF INNOVATIVE EDUCATION,10.1111/dsji.122:34,"Lim, Jeen-Su; Heinrichs, John H.",,,Journal Article,Web of Science,EC2
"Studies on morphological, physico-chemical and mechanical properties of wheat straw reinforced polyester resin composite",POLYMER BULLETIN,10.1007/s00289-021-03630-z,"Haque, Md. Eyazul; Khan, Md. Wahab; Rani, Moly",,,Journal Article,Web of Science,EC3
Review of Design Elements within Power Infrastructure Cyber-Physical Test Beds as Threat Analysis Environments,ENERGIES,10.3390/en14051409,"Vaagensmith, Bjorn; Singh, Vivek Kumar; Ivans, Robert; Marino, Daniel L.; Wickramasinghe, Chathurika S.; Lehmer, Jacob; Phillips, Tyler; Rieger, Craig; Manic, Milos",2021,,Journal Article,Web of Science,EC3
Enabling High-Throughput Searches for Multiple Chemical Data Using the US-EPA CompTox Chemicals Dashboard,JOURNAL OF CHEMICAL INFORMATION AND MODELING,10.1021/acs.jcim.0c01273,"Lowe, Charles N.; Williams, Antony J.",2021,,Journal Article,Web of Science,EC3
Analysis and Classification of Mobile Apps Using Topic Modeling: A Case Study on Google Play Arabic Apps,COMPLEXITY,10.1155/2021/6677413,"Fuad, Ahlam; Al-Yahya, Maha",2021,,Journal Article,Web of Science,EC3
"How impact measurement devices act: the performativity of theory of change, SROI and dashboards",QUALITATIVE RESEARCH IN ACCOUNTING AND MANAGEMENT,10.1108/QRAM-02-2019-0041,"Ruff, Katherine",,,Journal Article,Web of Science,EC3
Insights on identifying potential types of guidance for supporting student inquiry when using virtual and remote labs in science,ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT,10.1007/s11423-020-09928-5,"Gamor, Keysha I.",2021,,Journal Article,Web of Science,EC3
Global drought monitoring with big geospatial datasets using Google Earth Engine,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,10.1007/s11356-020-12023-0,"Khan, Ramla; Gilani, Hammad",,,Journal Article,Web of Science,EC3
A Multiple Study Investigation of the Evaluation Framework for Learning Analytics: Instrument Validation and the Impact on Learner Performance,EDUCATIONAL TECHNOLOGY & SOCIETY,,"Kokoc, Mehmet; Kara, Mehmet",2021,,Journal Article,Web of Science,EC3
